mid,move_name,pid
0,pound,35
0,pound,36
0,pound,39
0,pound,40
0,pound,60
0,pound,61
0,pound,62
0,pound,88
0,pound,88
0,pound,89
0,pound,89
0,pound,96
0,pound,97
0,pound,113
0,pound,122
0,pound,124
0,pound,151
0,pound,173
0,pound,174
0,pound,192
0,pound,238
0,pound,242
0,pound,252
0,pound,253
0,pound,254
0,pound,274
0,pound,293
0,pound,294
0,pound,295
0,pound,316
0,pound,317
0,pound,393
0,pound,427
0,pound,428
0,pound,439
0,pound,440
0,pound,456
0,pound,457
0,pound,531
0,pound,532
0,pound,533
0,pound,534
0,pound,568
0,pound,569
0,pound,572
0,pound,574
0,pound,575
0,pound,576
0,pound,594
0,pound,619
0,pound,620
0,pound,622
0,pound,623
0,pound,656
0,pound,657
0,pound,658
0,pound,694
0,pound,728
0,pound,729
0,pound,730
0,pound,741
0,pound,758
0,pound,793
1,karatechop,56
1,karatechop,57
1,karatechop,66
1,karatechop,67
1,karatechop,68
1,karatechop,539
1,karatechop,674
1,karatechop,675
1,karatechop,701
1,karatechop,125
1,karatechop,126
1,karatechop,239
1,karatechop,240
1,karatechop,466
1,karatechop,467
2,doubleslap,35
2,doubleslap,36
2,doubleslap,39
2,doubleslap,40
2,doubleslap,60
2,doubleslap,61
2,doubleslap,62
2,doubleslap,113
2,doubleslap,122
2,doubleslap,124
2,doubleslap,186
2,doubleslap,242
2,doubleslap,300
2,doubleslap,301
2,doubleslap,439
2,doubleslap,531
2,doubleslap,568
2,doubleslap,569
2,doubleslap,572
2,doubleslap,574
2,doubleslap,575
2,doubleslap,576
2,doubleslap,594
2,doubleslap,619
2,doubleslap,620
2,doubleslap,659
2,doubleslap,660
2,doubleslap,728
2,doubleslap,729
2,doubleslap,730
2,doubleslap,741
2,doubleslap,757
2,doubleslap,758
2,doubleslap,762
2,doubleslap,763
2,doubleslap,25
2,doubleslap,26
2,doubleslap,26
2,doubleslap,172
2,doubleslap,190
2,doubleslap,418
2,doubleslap,419
2,doubleslap,424
3,cometpunch,107
3,cometpunch,115
3,cometpunch,165
3,cometpunch,166
3,cometpunch,674
3,cometpunch,675
3,cometpunch,794
3,cometpunch,532
3,cometpunch,533
3,cometpunch,534
4,megapunch,76
4,megapunch,76
